detector,f1,precision,recall,runtime_sec,roc_auc,avg_precision,dataset,anomaly_rate
IsolationForest,0.12058570198105081,0.06422018348623854,0.9859154929577465,0.18891668319702148,0.992778372959319,0.9299200889832768,satimage-2,0.0122350508357746
LOF,0.04478897502153316,0.023853211009174313,0.36619718309859156,0.8804550170898438,0.5481335325280363,0.03485408826628529,satimage-2,0.0122350508357746
HBOS,0.12058570198105081,0.06422018348623854,0.9859154929577465,0.029628753662109375,0.9778289415488044,0.7550084411337856,satimage-2,0.0122350508357746
COPOD,0.11541774332472007,0.061467889908256884,0.9436619718309859,0.04910087585449219,0.9744601594212869,0.7932801703583428,satimage-2,0.0122350508357746
VAE,0.1223083548664944,0.06513761467889909,1.0,27.37980055809021,0.9831536321909123,0.42884698646588887,satimage-2,0.0122350508357746
KNN,0.10508182601205857,0.05596330275229358,0.8591549295774648,0.7876358032226562,0.9328565601564727,0.3602307957041853,satimage-2,0.0122350508357746
MCD,0.1223083548664944,0.06513761467889909,1.0,3.3285350799560547,0.9953657745496004,0.6843294035849773,satimage-2,0.0122350508357746
INNE,0.1223083548664944,0.06513761467889909,1.0,0.48354244232177734,0.9973831123517097,0.8294312393177995,satimage-2,0.0122350508357746
PCA,0.11886304909560723,0.06330275229357799,0.971830985915493,0.02308201789855957,0.9771802482726084,0.872216235615693,satimage-2,0.0122350508357746
DeepSVDD,0.1119724375538329,0.05963302752293578,0.9154929577464789,3.10913348197937,0.8833261256302645,0.05201252628700112,satimage-2,0.0122350508357746
LUNAR,0.09646856158484066,0.05137614678899083,0.7887323943661971,1.1616334915161133,0.8906460395309751,0.23238209083758973,satimage-2,0.0122350508357746
LSCP,0.12058570198105081,0.06422018348623854,0.9859154929577465,16.86559510231018,0.9818021878655042,0.8523929839229135,satimage-2,0.0122350508357746
IsolationForest,0.028664495114006514,0.014925373134328358,0.36065573770491804,0.2537834644317627,0.4769881288863765,0.03546621219211035,speech,0.016549104720564298
LOF,0.031270358306188926,0.016282225237449117,0.39344262295081966,0.7208616733551025,0.5080927077444884,0.024065583541958216,speech,0.016549104720564298
HBOS,0.028664495114006514,0.014925373134328358,0.36065573770491804,0.20850896835327148,0.4757354437535331,0.02237310938884302,speech,0.016549104720564298
COPOD,0.02736156351791531,0.014246947082767978,0.3442622950819672,0.39368152618408203,0.49113397399660824,0.019321520802048124,speech,0.016549104720564298
VAE,0.024755700325732898,0.012890094979647219,0.3114754098360656,17.710445165634155,0.47040361786319956,0.018392001049273316,speech,0.016549104720564298
KNN,0.028664495114006514,0.014925373134328358,0.36065573770491804,0.7505671977996826,0.48424646693046913,0.01906068301296904,speech,0.016549104720564298
MCD,0.031270358306188926,0.016282225237449117,0.39344262295081966,102.25984501838684,0.4982882984737139,0.020341294808743915,speech,0.016549104720564298
INNE,0.026058631921824105,0.013568521031207599,0.32786885245901637,0.5962193012237549,0.47924703222159404,0.01763914470853054,speech,0.016549104720564298
PCA,0.026058631921824105,0.013568521031207599,0.32786885245901637,0.7877810001373291,0.46917354437535336,0.018425859574256655,speech,0.016549104720564298
DeepSVDD,0.02996742671009772,0.015603799185888738,0.3770491803278688,4.56820273399353,0.4541594120972301,0.016721242420055828,speech,0.016549104720564298
LUNAR,0.04299674267100977,0.022388059701492536,0.5409836065573771,1.6542856693267822,0.577248162803844,0.026746153777518857,speech,0.016549104720564298
LSCP,0.02996742671009772,0.015603799185888738,0.3770491803278688,98.69904208183289,0.4878145845110232,0.02167770192965438,speech,0.016549104720564298
IsolationForest,0.17391304347826086,0.09533678756476684,0.989247311827957,0.13981866836547852,0.97040745644416,0.4123807479349019,thyroid,0.024655355249204668
LOF,0.07372400756143667,0.04041450777202073,0.41935483870967744,0.48122358322143555,0.6157470327081634,0.05325031687325384,thyroid,0.024655355249204668
HBOS,0.166351606805293,0.09119170984455958,0.946236559139785,0.011938095092773438,0.9348525633718839,0.2559625371894733,thyroid,0.024655355249204668
COPOD,0.17391304347826086,0.09533678756476684,0.989247311827957,0.01330876350402832,0.9393301709499133,0.1789092857757182,thyroid,0.024655355249204668
VAE,0.16446124763705103,0.09015544041450778,0.9354838709677419,27.155330896377563,0.9353026623059679,0.25461579507177207,thyroid,0.024655355249204668
KNN,0.17580340264650285,0.09637305699481866,1.0,0.4972548484802246,0.9843590620405849,0.6096095602442656,thyroid,0.024655355249204668
MCD,0.17580340264650285,0.09637305699481866,1.0,0.6956987380981445,0.985722511084417,0.7029695557571317,thyroid,0.024655355249204668
INNE,0.17580340264650285,0.09637305699481866,1.0,0.2613546848297119,0.9857415087666997,0.5908225927414557,thyroid,0.024655355249204668
PCA,0.1720226843100189,0.09430051813471503,0.978494623655914,0.008826017379760742,0.9559779860703148,0.3585393833364294,thyroid,0.024655355249204668
DeepSVDD,0.17391304347826086,0.09533678756476684,0.989247311827957,1.979555606842041,0.9611278193291188,0.42636269904407065,thyroid,0.024655355249204668
LUNAR,0.16824196597353497,0.0922279792746114,0.956989247311828,0.4436047077178955,0.9292409402975913,0.19485570312247272,thyroid,0.024655355249204668
LSCP,0.17391304347826086,0.09533678756476684,0.989247311827957,4.908607721328735,0.954940420345641,0.2642999010209505,thyroid,0.024655355249204668
IsolationForest,0.10309278350515463,0.07462686567164178,0.16666666666666666,0.10322165489196777,0.39031746031746034,0.09898914429256317,vertebral,0.125
LOF,0.12371134020618557,0.08955223880597014,0.2,0.0933845043182373,0.4563492063492064,0.11434384939689093,vertebral,0.125
HBOS,0.041237113402061855,0.029850746268656716,0.06666666666666667,0.008922815322875977,0.3036507936507936,0.08671584454446388,vertebral,0.125
COPOD,0.020618556701030927,0.014925373134328358,0.03333333333333333,0.00918126106262207,0.3349206349206349,0.09029971433210797,vertebral,0.125
VAE,0.020618556701030927,0.014925373134328358,0.03333333333333333,1.0675365924835205,0.29555555555555557,0.08572949037038435,vertebral,0.125
KNN,0.08247422680412371,0.05970149253731343,0.13333333333333333,0.09240388870239258,0.3817460317460317,0.09765326657149861,vertebral,0.125
MCD,0.10309278350515463,0.07462686567164178,0.16666666666666666,0.05675220489501953,0.3976190476190476,0.09918715941949915,vertebral,0.125
INNE,0.12371134020618557,0.08955223880597014,0.2,0.13831877708435059,0.40412698412698417,0.10116600431707465,vertebral,0.125
PCA,0.08247422680412371,0.05970149253731343,0.13333333333333333,0.005835056304931641,0.3773015873015873,0.09653799955495243,vertebral,0.125
DeepSVDD,0.20618556701030927,0.14925373134328357,0.3333333333333333,0.1423354148864746,0.5306349206349206,0.14433941901887776,vertebral,0.125
LUNAR,0.061855670103092786,0.04477611940298507,0.1,0.2428295612335205,0.33714285714285713,0.09344191953699615,vertebral,0.125
LSCP,0.041237113402061855,0.029850746268656716,0.06666666666666667,0.38810205459594727,0.3461904761904762,0.09168085111643166,vertebral,0.125
IsolationForest,0.4,0.25675675675675674,0.9047619047619048,0.12381982803344727,0.9515806322529011,0.613081644548032,wbc,0.05555555555555555
LOF,0.4,0.25675675675675674,0.9047619047619048,0.12293457984924316,0.941843404028278,0.5190093205386488,wbc,0.05555555555555555
HBOS,0.4,0.25675675675675674,0.9047619047619048,0.02630925178527832,0.9574496465252768,0.6842454616354294,wbc,0.05555555555555555
COPOD,0.4,0.25675675675675674,0.9047619047619048,0.014754772186279297,0.9635854341736695,0.7141942320598258,wbc,0.05555555555555555
VAE,0.37894736842105264,0.24324324324324326,0.8571428571428571,1.699251413345337,0.8895558223289316,0.2669517113688462,wbc,0.05555555555555555
KNN,0.35789473684210527,0.22972972972972974,0.8095238095238095,0.11482739448547363,0.9444444444444444,0.4859738412736432,wbc,0.05555555555555555
MCD,0.35789473684210527,0.22972972972972974,0.8095238095238095,0.09310197830200195,0.9181005735627584,0.4426361701958238,wbc,0.05555555555555555
INNE,0.4,0.25675675675675674,0.9047619047619048,0.16540169715881348,0.9247699079631853,0.33375953409031184,wbc,0.05555555555555555
PCA,0.35789473684210527,0.22972972972972974,0.8095238095238095,0.009532690048217773,0.9345071361878083,0.5564075588499411,wbc,0.05555555555555555
DeepSVDD,0.25263157894736843,0.16216216216216217,0.5714285714285714,0.24016165733337402,0.7333600106709349,0.20473001626041057,wbc,0.05555555555555555
LUNAR,0.4,0.25675675675675674,0.9047619047619048,0.4505469799041748,0.9461117780445512,0.4553311428329308,wbc,0.05555555555555555
LSCP,0.4,0.25675675675675674,0.9047619047619048,0.7592799663543701,0.960250766973456,0.6607742009002513,wbc,0.05555555555555555
IsolationForest,0.2807017543859649,0.17624521072796934,0.6891385767790262,0.18151187896728516,0.8014087925646497,0.2831377473113421,annthyroid,0.07416666666666667
LOF,0.11975591151792525,0.07519157088122605,0.2940074906367041,0.7149660587310791,0.46371743915964625,0.08350289686183474,annthyroid,0.07416666666666667
HBOS,0.17404697728147864,0.10954920019389239,0.4232209737827715,0.014134883880615234,0.6056279785281898,0.1533027505419219,annthyroid,0.07416666666666667
COPOD,0.2578184591914569,0.16187739463601533,0.6329588014981273,0.018842220306396484,0.7760194558781721,0.17325621076068218,annthyroid,0.07416666666666667
VAE,0.20594965675057209,0.12931034482758622,0.5056179775280899,34.240923166275024,0.6783036449712387,0.1968487596219986,annthyroid,0.07416666666666667
KNN,0.36765827612509533,0.23084291187739464,0.9026217228464419,0.6658074855804443,0.9131928642302433,0.44134438968784023,annthyroid,0.07416666666666667
MCD,0.38215102974828374,0.23994252873563218,0.9382022471910112,1.2174725532531738,0.9189432988242644,0.5049429187261002,annthyroid,0.07416666666666667
INNE,0.40350877192982454,0.2533524904214559,0.9906367041198502,0.5056877136230469,0.9331364316206902,0.49464650194823023,annthyroid,0.07416666666666667
PCA,0.19908466819221968,0.125,0.4887640449438202,0.011574745178222656,0.673468751369519,0.19156315352146705,annthyroid,0.07416666666666667
DeepSVDD,0.2242562929061785,0.14080459770114942,0.550561797752809,3.809786796569824,0.7059863289699757,0.23724938110683624,annthyroid,0.07416666666666667
LUNAR,0.2395118230358505,0.1503831417624521,0.5880149812734082,0.7596566677093506,0.7359443809549495,0.1926126900106243,annthyroid,0.07416666666666667
LSCP,0.2433257055682685,0.1527777777777778,0.5973782771535581,9.448139429092407,0.7409932004436399,0.20395232718815642,annthyroid,0.07416666666666667
IsolationForest,0.46408839779005523,0.3652173913043478,0.6363636363636364,0.14760112762451172,0.8055817239755063,0.45525562516333395,arrhythmia,0.14601769911504425
LOF,0.23204419889502761,0.1826086956521739,0.3181818181818182,0.14209485054016113,0.6144214162348878,0.21894344088683418,arrhythmia,0.14601769911504425
HBOS,0.46408839779005523,0.3652173913043478,0.6363636363636364,0.06683564186096191,0.7978097032501178,0.4457012556702487,arrhythmia,0.14601769911504425
COPOD,0.47513812154696133,0.3739130434782609,0.6515151515151515,0.042012691497802734,0.7997723347464281,0.4611775433676617,arrhythmia,0.14601769911504425
VAE,0.4530386740331492,0.3565217391304348,0.6212121212121212,3.117743492126465,0.7655047888208508,0.3239156514218405,arrhythmia,0.14601769911504425
KNN,0.4419889502762431,0.34782608695652173,0.6060606060606061,0.15610647201538086,0.802637776731041,0.4340438862764223,arrhythmia,0.14601769911504425
MCD,,,,0.03266310691833496,,,arrhythmia,0.14601769911504425
INNE,0.430939226519337,0.3391304347826087,0.5909090909090909,0.2099459171295166,0.7552991050400377,0.2932381106898964,arrhythmia,0.14601769911504425
PCA,0.4530386740331492,0.3565217391304348,0.6212121212121212,0.10574531555175781,0.7748076621133617,0.39509185333689095,arrhythmia,0.14601769911504425
DeepSVDD,0.4088397790055249,0.3217391304347826,0.5606060606060606,0.49342775344848633,0.7675851782069398,0.3597486055119642,arrhythmia,0.14601769911504425
LUNAR,0.46408839779005523,0.3652173913043478,0.6363636363636364,0.8269214630126953,0.7968676401318889,0.4470973893099435,arrhythmia,0.14601769911504425
LSCP,0.4861878453038674,0.3826086956521739,0.6666666666666666,1.6491162776947021,0.8048359240069085,0.4610895704233521,arrhythmia,0.14601769911504425
IsolationForest,0.9296875,0.8717948717948718,0.99581589958159,0.11528611183166504,0.9870896000603113,0.9698857073366594,breastw,0.34992679355783307
LOF,0.1328125,0.12454212454212454,0.14225941422594143,0.11907076835632324,0.3749858645256135,0.27355386111378693,breastw,0.34992679355783307
HBOS,0.92578125,0.8681318681318682,0.9916317991631799,0.01701068878173828,0.984733687662558,0.9548539328098623,breastw,0.34992679355783307
COPOD,0.9296875,0.8717948717948718,0.99581589958159,0.007932901382446289,0.9943552338949829,0.9886386785288371,breastw,0.34992679355783307
VAE,0.9140625,0.8571428571428571,0.9790794979079498,5.670696973800659,0.9770251422971088,0.9362256036389625,breastw,0.34992679355783307
KNN,0.92578125,0.8681318681318682,0.9916317991631799,0.13559651374816895,0.9779533717818236,0.9175070613346331,breastw,0.34992679355783307
MCD,0.9296875,0.8717948717948718,0.99581589958159,0.3930823802947998,0.9878717629763655,0.9661279366580152,breastw,0.34992679355783307
INNE,0.5546875,0.5201465201465202,0.5941422594142259,0.1518564224243164,0.718845414452109,0.45557840972038194,breastw,0.34992679355783307
PCA,0.87109375,0.8168498168498168,0.9330543933054394,0.006324052810668945,0.9555580685287799,0.95480260795125,breastw,0.34992679355783307
DeepSVDD,0.796812749003984,0.7604562737642585,0.8368200836820083,0.37195253372192383,0.8676071468958498,0.8673826684157767,breastw,0.34992679355783307
LUNAR,0.890625,0.8351648351648352,0.9539748953974896,0.31558799743652344,0.9656225262919823,0.9131256676789342,breastw,0.34992679355783307
LSCP,0.92578125,0.8681318681318682,0.9916317991631799,0.9426567554473877,0.9732179878623393,0.9267580102825698,breastw,0.34992679355783307
IsolationForest,0.3036621224271585,0.18678066425517922,0.8114285714285714,0.2308657169342041,0.802004925394756,0.273695280855073,mnist,0.09206892016309351
LOF,0.20636193531141406,0.1269319302860901,0.5514285714285714,1.9630153179168701,0.5946540841456096,0.12887264590779782,mnist,0.09206892016309351
HBOS,0.08393477679764769,0.05162775402828017,0.22428571428571428,0.06296181678771973,0.37010119823679144,0.06709634438432992,mnist,0.09206892016309351
COPOD,0.29190056134723336,0.17954620190726733,0.78,0.11354613304138184,0.7738682974276195,0.21401951655293466,mnist,0.09206892016309351
VAE,0.29243517775995725,0.1798750411048997,0.7814285714285715,35.086461305618286,0.8023604643943627,0.3490771349526124,mnist,0.09206892016309351
KNN,0.2983159582999198,0.18349227227885564,0.7971428571428572,1.8831396102905273,0.8061046956809669,0.3337117297316291,mnist,0.09206892016309351
MCD,0.351242983159583,0.21604735284445906,0.9385714285714286,3.4000065326690674,0.8693472817201631,0.336783738720284,mnist,0.09206892016309351
INNE,0.31007751937984496,0.1907267346267675,0.8285714285714286,0.645667552947998,0.808677904016887,0.30707068210157135,mnist,0.09206892016309351
PCA,0.0,0.0,0.0,0.07496356964111328,0.5,0.09206892016309351,mnist,0.09206892016309351
DeepSVDD,0.28174284950547984,0.17329825715225256,0.7528571428571429,4.346570014953613,0.7619647772190146,0.3106818759578585,mnist,0.09206892016309351
LUNAR,0.272654370489174,0.16770799079250245,0.7285714285714285,1.539703369140625,0.7528829080523995,0.29679069611586073,mnist,0.09206892016309351
LSCP,0.26142742582197276,0.16080236764222294,0.6985714285714286,68.50276327133179,0.7213213716603547,0.19896699755897956,mnist,0.09206892016309351
IsolationForest,0.11392405063291139,0.061855670103092786,0.72,0.12232637405395508,0.7158605974395449,0.13676608636642448,vowels,0.034340659340659344
LOF,0.15822784810126583,0.0859106529209622,1.0,0.12438392639160156,0.9350924608819345,0.2979481018579078,vowels,0.034340659340659344
HBOS,0.0981012658227848,0.05326460481099656,0.62,0.012875795364379883,0.6758890469416785,0.08100387368680187,vowels,0.034340659340659344
COPOD,0.06329113924050633,0.03436426116838488,0.4,0.011012077331542969,0.49578947368421056,0.034110798555548966,vowels,0.034340659340659344
VAE,0.13291139240506328,0.07216494845360824,0.84,6.850573778152466,0.8135846372688478,0.1374986727050791,vowels,0.034340659340659344
KNN,0.15822784810126583,0.0859106529209622,1.0,0.1499652862548828,0.9694167852062588,0.506874303843819,vowels,0.034340659340659344
MCD,0.11708860759493671,0.06357388316151202,0.74,0.6051681041717529,0.7024039829302986,0.05519134493696934,vowels,0.034340659340659344
INNE,0.14556962025316456,0.07903780068728522,0.92,0.1773228645324707,0.8634850640113798,0.2616895140433806,vowels,0.034340659340659344
PCA,0.0759493670886076,0.041237113402061855,0.48,0.007207632064819336,0.6098150782361308,0.06705036554137382,vowels,0.034340659340659344
DeepSVDD,0.07278481012658228,0.03951890034364261,0.46,0.7792699337005615,0.5629587482219062,0.06644119556948308,vowels,0.034340659340659344
LUNAR,0.1550632911392405,0.08419243986254296,0.98,0.3707735538482666,0.95425320056899,0.6744507184667858,vowels,0.034340659340659344
LSCP,0.0981012658227848,0.05326460481099656,0.62,2.169506549835205,0.6915504978662874,0.09537435328163435,vowels,0.034340659340659344
IsolationForest,0.2727272727272727,0.17647058823529413,0.6,0.10104012489318848,0.7747899159663866,0.1784364766266772,wine,0.07751937984496124
LOF,0.22727272727272727,0.14705882352941177,0.5,0.07130718231201172,0.7487394957983193,0.14383635285269797,wine,0.07751937984496124
HBOS,0.36363636363636365,0.23529411764705882,0.8,0.01045370101928711,0.907563025210084,0.394039849039849,wine,0.07751937984496124
COPOD,0.36363636363636365,0.23529411764705882,0.8,0.009627342224121094,0.8672268907563025,0.3611571275364379,wine,0.07751937984496124
VAE,0.4090909090909091,0.2647058823529412,0.9,0.6027274131774902,0.8739495798319328,0.279667861882018,wine,0.07751937984496124
KNN,0.09090909090909091,0.058823529411764705,0.2,0.07215595245361328,0.6563025210084034,0.11434832631507516,wine,0.07751937984496124
MCD,0.45454545454545453,0.29411764705882354,1.0,0.05078005790710449,0.9756302521008404,0.7103696303696304,wine,0.07751937984496124
INNE,0.4090909090909091,0.2647058823529412,0.9,0.1344437599182129,0.8453781512605042,0.21359195500062372,wine,0.07751937984496124
PCA,0.3181818181818182,0.20588235294117646,0.7,0.006222963333129883,0.8058823529411765,0.25012295857553624,wine,0.07751937984496124
DeepSVDD,0.3181818181818182,0.20588235294117646,0.7,0.0912923812866211,0.807563025210084,0.26767710138037054,wine,0.07751937984496124
LUNAR,0.13636363636363635,0.08823529411764706,0.3,0.23994731903076172,0.619327731092437,0.10513130457910369,wine,0.07751937984496124
LSCP,0.36363636363636365,0.23529411764705882,0.8,0.2662391662597656,0.8613445378151262,0.269274212100299,wine,0.07751937984496124
